"epoch","value","metric","data"
1,0.00764826918020844,"loss","training"
2,0.000815254868939519,"loss","training"
3,0.000575198559090495,"loss","training"
4,0.000472925341455266,"loss","training"
5,0.000436040048953146,"loss","training"
6,0.000420940545154735,"loss","training"
7,0.000415674439864233,"loss","training"
8,0.000404884776799008,"loss","training"
9,0.000399611599277705,"loss","training"
10,0.000391504843719304,"loss","training"
11,0.000390976056223735,"loss","training"
12,0.000389075430575758,"loss","training"
13,0.0003848482738249,"loss","training"
14,0.000362138205673546,"loss","training"
15,0.000361000944394618,"loss","training"
16,0.000359753903467208,"loss","training"
17,0.000359344208845869,"loss","training"
18,0.000358331075403839,"loss","training"
19,0.000357635726686567,"loss","training"
20,0.000357451266609132,"loss","training"
21,0.000356888922397047,"loss","training"
22,0.000357075099600479,"loss","training"
23,0.000356109609128907,"loss","training"
24,0.000355287309503183,"loss","training"
25,0.000351997528923675,"loss","training"
26,0.000351858732756227,"loss","training"
27,0.000351737951859832,"loss","training"
28,0.000351651891833171,"loss","training"
29,0.000351608556229621,"loss","training"
30,0.000351451017195359,"loss","training"
31,0.000351565482560545,"loss","training"
32,0.00035140075488016,"loss","training"
33,0.000351494876667857,"loss","training"
34,0.000351455120835453,"loss","training"
35,0.000350972259184346,"loss","training"
36,0.000350931426510215,"loss","training"
37,0.000350918009644374,"loss","training"
38,0.000350914808223024,"loss","training"
39,0.000350917776813731,"loss","training"
40,0.000350890681147575,"loss","training"
41,0.000350907066604123,"loss","training"
42,0.000350895279552788,"loss","training"
43,0.000350892078131437,"loss","training"
44,0.000350893766153604,"loss","training"
45,0.000350826157955453,"loss","training"
46,0.000350825779605657,"loss","training"
47,0.0003508246736601,"loss","training"
48,0.000350824295310304,"loss","training"
49,0.000350823189364746,"loss","training"
50,0.000350823713233694,"loss","training"
51,0.000350822519976646,"loss","training"
52,0.000350822752807289,"loss","training"
53,0.000350821239408106,"loss","training"
54,0.000350822025211528,"loss","training"
55,0.000350813876139,"loss","training"
56,0.000350813730619848,"loss","training"
