"lag","StepPred","lstm1_units","MSE1","MSE2"
12,20,6,2.20917664062816,142.295267928564
12,20,12,1.77884625193457,337.731795333892
12,20,24,2.5037714703308,345.624906940392
12,20,48,1.55905799640929,164.903515050795
12,20,96,0.717544131113063,41.1990389840435
24,20,6,0.245620754388195,30.3543932414504
24,20,12,0.0391898115712381,6.94876012931191
24,20,24,0.00325557028423878,30.3800595159294
24,20,48,0.0248995762150481,10.7429379379031
24,20,96,0.0980750091584018,0.602236987924197
36,20,6,0.166608660786622,1.1881228522381
36,20,12,0.215346014494925,57.2019214383817
36,20,24,0.0107786754433606,2.11234371832051
36,20,48,0.00384475768644651,6.05264947431374
36,20,96,0.108738144874172,5.11982996084738
