"epoch","value","metric","data"
1,0.0218803863972425,"loss","training"
2,0.000225245064939372,"loss","training"
3,0.000191782746696845,"loss","training"
4,0.000167512553161941,"loss","training"
5,0.000132361528812908,"loss","training"
6,0.000133595051011071,"loss","training"
7,0.000105847313534468,"loss","training"
8,0.000100572127848864,"loss","training"
9,8.61015141708776e-05,"loss","training"
10,8.15476087154821e-05,"loss","training"
11,6.50245347060263e-05,"loss","training"
12,6.17969853919931e-05,"loss","training"
13,4.82904324599076e-05,"loss","training"
14,4.74911212222651e-05,"loss","training"
15,4.22711927967612e-05,"loss","training"
16,3.60077065124642e-05,"loss","training"
17,3.4198717912659e-05,"loss","training"
18,3.06701913359575e-05,"loss","training"
19,3.03487431665417e-05,"loss","training"
20,2.55379782174714e-05,"loss","training"
21,2.2613301553065e-05,"loss","training"
22,1.83936826942954e-05,"loss","training"
23,1.69915783772012e-05,"loss","training"
24,1.68120077432832e-05,"loss","training"
25,1.18226807899191e-05,"loss","training"
26,6.30352997177397e-06,"loss","training"
27,5.94591483604745e-06,"loss","training"
28,5.5824102673796e-06,"loss","training"
29,5.40586734132376e-06,"loss","training"
30,5.04506670040428e-06,"loss","training"
31,4.9081372708315e-06,"loss","training"
32,4.60077171737794e-06,"loss","training"
33,4.44761963080964e-06,"loss","training"
34,4.16692228100146e-06,"loss","training"
35,4.01697798224632e-06,"loss","training"
36,3.37081451107224e-06,"loss","training"
37,3.34617243424873e-06,"loss","training"
38,3.32480612996733e-06,"loss","training"
39,3.30413513438543e-06,"loss","training"
40,3.27514840137155e-06,"loss","training"
41,3.26191866406589e-06,"loss","training"
42,3.20795106745209e-06,"loss","training"
43,3.21208835885045e-06,"loss","training"
44,3.16995146931731e-06,"loss","training"
45,3.16845648740127e-06,"loss","training"
46,3.10951850224228e-06,"loss","training"
47,3.10151858684549e-06,"loss","training"
48,3.09724691760493e-06,"loss","training"
49,3.0934352253098e-06,"loss","training"
50,3.08665153170296e-06,"loss","training"
51,3.0890196285327e-06,"loss","training"
52,3.08545691041218e-06,"loss","training"
53,NA,"loss","training"
54,NA,"loss","training"
55,NA,"loss","training"
56,NA,"loss","training"
57,NA,"loss","training"
58,NA,"loss","training"
59,NA,"loss","training"
60,NA,"loss","training"
61,NA,"loss","training"
62,NA,"loss","training"
63,NA,"loss","training"
64,NA,"loss","training"
65,NA,"loss","training"
66,NA,"loss","training"
67,NA,"loss","training"
68,NA,"loss","training"
69,NA,"loss","training"
70,NA,"loss","training"
71,NA,"loss","training"
72,NA,"loss","training"
73,NA,"loss","training"
74,NA,"loss","training"
75,NA,"loss","training"
76,NA,"loss","training"
77,NA,"loss","training"
78,NA,"loss","training"
79,NA,"loss","training"
80,NA,"loss","training"
81,NA,"loss","training"
82,NA,"loss","training"
83,NA,"loss","training"
84,NA,"loss","training"
85,NA,"loss","training"
86,NA,"loss","training"
87,NA,"loss","training"
88,NA,"loss","training"
89,NA,"loss","training"
90,NA,"loss","training"
91,NA,"loss","training"
92,NA,"loss","training"
93,NA,"loss","training"
94,NA,"loss","training"
95,NA,"loss","training"
96,NA,"loss","training"
97,NA,"loss","training"
98,NA,"loss","training"
99,NA,"loss","training"
100,NA,"loss","training"
1,0.0218803863972425,"mean_squared_error","training"
2,0.000225245064939372,"mean_squared_error","training"
3,0.000191782746696845,"mean_squared_error","training"
4,0.000167512553161941,"mean_squared_error","training"
5,0.000132361528812908,"mean_squared_error","training"
6,0.000133595051011071,"mean_squared_error","training"
7,0.000105847313534468,"mean_squared_error","training"
8,0.000100572127848864,"mean_squared_error","training"
9,8.61015141708776e-05,"mean_squared_error","training"
10,8.15476087154821e-05,"mean_squared_error","training"
11,6.50245347060263e-05,"mean_squared_error","training"
12,6.17969853919931e-05,"mean_squared_error","training"
13,4.82904324599076e-05,"mean_squared_error","training"
14,4.74911212222651e-05,"mean_squared_error","training"
15,4.22711927967612e-05,"mean_squared_error","training"
16,3.60077065124642e-05,"mean_squared_error","training"
17,3.4198717912659e-05,"mean_squared_error","training"
18,3.06701913359575e-05,"mean_squared_error","training"
19,3.03487431665417e-05,"mean_squared_error","training"
20,2.55379782174714e-05,"mean_squared_error","training"
21,2.2613301553065e-05,"mean_squared_error","training"
22,1.83936826942954e-05,"mean_squared_error","training"
23,1.69915783772012e-05,"mean_squared_error","training"
24,1.68120077432832e-05,"mean_squared_error","training"
25,1.18226807899191e-05,"mean_squared_error","training"
26,6.30352997177397e-06,"mean_squared_error","training"
27,5.94591483604745e-06,"mean_squared_error","training"
28,5.5824102673796e-06,"mean_squared_error","training"
29,5.40586734132376e-06,"mean_squared_error","training"
30,5.04506670040428e-06,"mean_squared_error","training"
31,4.9081372708315e-06,"mean_squared_error","training"
32,4.60077171737794e-06,"mean_squared_error","training"
33,4.44761963080964e-06,"mean_squared_error","training"
34,4.16692228100146e-06,"mean_squared_error","training"
35,4.01697798224632e-06,"mean_squared_error","training"
36,3.37081451107224e-06,"mean_squared_error","training"
37,3.34617243424873e-06,"mean_squared_error","training"
38,3.32480612996733e-06,"mean_squared_error","training"
39,3.30413513438543e-06,"mean_squared_error","training"
40,3.27514840137155e-06,"mean_squared_error","training"
41,3.26191866406589e-06,"mean_squared_error","training"
42,3.20795106745209e-06,"mean_squared_error","training"
43,3.21208835885045e-06,"mean_squared_error","training"
44,3.16995146931731e-06,"mean_squared_error","training"
45,3.16845648740127e-06,"mean_squared_error","training"
46,3.10951850224228e-06,"mean_squared_error","training"
47,3.10151858684549e-06,"mean_squared_error","training"
48,3.09724691760493e-06,"mean_squared_error","training"
49,3.0934352253098e-06,"mean_squared_error","training"
50,3.08665153170296e-06,"mean_squared_error","training"
51,3.0890196285327e-06,"mean_squared_error","training"
52,3.08545691041218e-06,"mean_squared_error","training"
53,NA,"mean_squared_error","training"
54,NA,"mean_squared_error","training"
55,NA,"mean_squared_error","training"
56,NA,"mean_squared_error","training"
57,NA,"mean_squared_error","training"
58,NA,"mean_squared_error","training"
59,NA,"mean_squared_error","training"
60,NA,"mean_squared_error","training"
61,NA,"mean_squared_error","training"
62,NA,"mean_squared_error","training"
63,NA,"mean_squared_error","training"
64,NA,"mean_squared_error","training"
65,NA,"mean_squared_error","training"
66,NA,"mean_squared_error","training"
67,NA,"mean_squared_error","training"
68,NA,"mean_squared_error","training"
69,NA,"mean_squared_error","training"
70,NA,"mean_squared_error","training"
71,NA,"mean_squared_error","training"
72,NA,"mean_squared_error","training"
73,NA,"mean_squared_error","training"
74,NA,"mean_squared_error","training"
75,NA,"mean_squared_error","training"
76,NA,"mean_squared_error","training"
77,NA,"mean_squared_error","training"
78,NA,"mean_squared_error","training"
79,NA,"mean_squared_error","training"
80,NA,"mean_squared_error","training"
81,NA,"mean_squared_error","training"
82,NA,"mean_squared_error","training"
