"epoch","value","metric","data"
1,0.00765756703913212,"loss","training"
2,0.000777031003963202,"loss","training"
3,0.000553644204046577,"loss","training"
4,0.000491122656967491,"loss","training"
5,0.000456318550277501,"loss","training"
6,0.000440095813246444,"loss","training"
7,0.000429750536568463,"loss","training"
8,0.000423046469222754,"loss","training"
9,0.000421481643570587,"loss","training"
10,0.000416643306380138,"loss","training"
11,0.000418978306697682,"loss","training"
12,0.000412374996813014,"loss","training"
13,0.000412456458434463,"loss","training"
14,0.000412681605666876,"loss","training"
15,0.000411857850849628,"loss","training"
16,0.0004085170221515,"loss","training"
17,0.00039087183540687,"loss","training"
18,0.000390510598663241,"loss","training"
19,0.000390925066312775,"loss","training"
20,0.000390170724131167,"loss","training"
21,0.000389991968404502,"loss","training"
22,0.000390340486774221,"loss","training"
23,0.00038975159986876,"loss","training"
24,0.000389493390684947,"loss","training"
25,0.000389024033211172,"loss","training"
26,0.000389046792406589,"loss","training"
27,0.000386289699235931,"loss","training"
28,0.000386369065381587,"loss","training"
29,0.000386207480914891,"loss","training"
30,0.000386267784051597,"loss","training"
31,0.000386247877031565,"loss","training"
32,0.000386187835829332,"loss","training"
33,0.000386208150302991,"loss","training"
34,0.000386074301786721,"loss","training"
35,0.000386112980777398,"loss","training"
36,0.000386110245017335,"loss","training"
37,0.000385792431188747,"loss","training"
38,0.000385768129490316,"loss","training"
39,0.000385737948818132,"loss","training"
40,0.000385756022296846,"loss","training"
41,0.000385758612537757,"loss","training"
42,0.000385752122383565,"loss","training"
43,0.000385750085115433,"loss","training"
44,0.000385743100196123,"loss","training"
45,0.000385739491321146,"loss","training"
46,0.000385740044293925,"loss","training"
47,0.000385696417652071,"loss","training"
48,0.000385693419957533,"loss","training"
49,0.000385692634154111,"loss","training"
50,0.000385692372219637,"loss","training"
51,0.000385691178962588,"loss","training"
52,0.000385689549148083,"loss","training"
53,0.000385691178962588,"loss","training"
54,0.000385690393159166,"loss","training"
55,0.000385691237170249,"loss","training"
56,0.000385689927497879,"loss","training"
57,0.000385684368666261,"loss","training"
58,0.000385684164939448,"loss","training"
59,0.000385684077627957,"loss","training"
60,0.000385683990316465,"loss","training"
61,0.000385684106731787,"loss","training"
62,0.000385684310458601,"loss","training"
63,0.000385684310458601,"loss","training"
64,0.000385683961212635,"loss","training"
65,0.000385684164939448,"loss","training"
66,0.000385684164939448,"loss","training"
67,0.000385683728381991,"loss","training"
68,0.000385683757485822,"loss","training"
69,0.000385684019420296,"loss","training"
70,0.0003856836410705,"loss","training"
71,0.000385683873901144,"loss","training"
72,0.000385683495551348,"loss","training"
73,0.00038568367017433,"loss","training"
74,0.000385683961212635,"loss","training"
75,0.000385683728381991,"loss","training"
76,0.000385683990316465,"loss","training"
77,0.000385684077627957,"loss","training"
78,0.000385683524655178,"loss","training"
79,0.000385683873901144,"loss","training"
80,0.000385684019420296,"loss","training"
81,0.000385683844797313,"loss","training"
82,0.000385683844797313,"loss","training"
83,0.000385683844797313,"loss","training"
84,0.000385683844797313,"loss","training"
85,0.000385683844797313,"loss","training"
86,0.000385683873901144,"loss","training"
87,0.000385683873901144,"loss","training"
88,0.000385683728381991,"loss","training"
89,0.000385684194043279,"loss","training"
90,0.000385683844797313,"loss","training"
91,0.000385683815693483,"loss","training"
92,NA,"loss","training"
93,NA,"loss","training"
94,NA,"loss","training"
95,NA,"loss","training"
96,NA,"loss","training"
97,NA,"loss","training"
98,NA,"loss","training"
99,NA,"loss","training"
100,NA,"loss","training"
1,0.00765756703913212,"mean_squared_error","training"
2,0.000777031003963202,"mean_squared_error","training"
3,0.000553644204046577,"mean_squared_error","training"
4,0.000491122656967491,"mean_squared_error","training"
5,0.000456318550277501,"mean_squared_error","training"
6,0.000440095813246444,"mean_squared_error","training"
7,0.000429750536568463,"mean_squared_error","training"
8,0.000423046469222754,"mean_squared_error","training"
9,0.000421481643570587,"mean_squared_error","training"
10,0.000416643306380138,"mean_squared_error","training"
11,0.000418978364905342,"mean_squared_error","training"
12,0.000412374996813014,"mean_squared_error","training"
13,0.000412456458434463,"mean_squared_error","training"
14,0.000412681605666876,"mean_squared_error","training"
15,0.000411857850849628,"mean_squared_error","training"
16,0.0004085170221515,"mean_squared_error","training"
17,0.00039087183540687,"mean_squared_error","training"
18,0.000390510598663241,"mean_squared_error","training"
19,0.000390925066312775,"mean_squared_error","training"
20,0.000390170724131167,"mean_squared_error","training"
21,0.000389991968404502,"mean_squared_error","training"
22,0.000390340486774221,"mean_squared_error","training"
23,0.00038975159986876,"mean_squared_error","training"
24,0.000389493390684947,"mean_squared_error","training"
25,0.000389024033211172,"mean_squared_error","training"
26,0.000389046792406589,"mean_squared_error","training"
27,0.000386289699235931,"mean_squared_error","training"
28,0.000386369065381587,"mean_squared_error","training"
29,0.000386207480914891,"mean_squared_error","training"
30,0.000386267784051597,"mean_squared_error","training"
31,0.000386247877031565,"mean_squared_error","training"
